End date,Quarter,Year,Month, Original data , Unemployers who stand up at the office (seasonally adjusted) , Trend , One month ahead forecast- seasonally adjusted data , Next month graph's forecast ,Forecast graph
31/01/2008,1,2008,January,"186,654","185,375","186,264",,,
29/02/2008,1,2008,February,"184,230","185,533","183,116",,,
31/03/2008,1,2008,March,"185,798","182,888","180,784",,,
30/04/2008,2,2008,April,"138,172","180,091","180,091",,,
31/05/2008,2,2008,May,"178,724","181,576","181,386",,,
30/06/2008,2,2008,June,"199,096","184,110","184,110",,,
31/07/2008,3,2008,July,"217,955","187,031","187,031",,,
31/08/2008,3,2008,August,"197,883","191,347","189,337",,,
30/09/2008,3,2008,September,"193,064","189,993","191,310",,,
31/10/2008,4,2008,October,"183,477","193,407","194,444",,,
30/11/2008,4,2008,November,"199,734","199,788","199,645",,,
31/12/2008,4,2008,December,"205,310","205,636","206,832",,,
31/01/2009,1,2009,January,"214,786","216,509","215,101",,,
28/02/2009,1,2009,February,"218,470","222,103","222,607",,,
31/03/2009,1,2009,March,"228,173","228,771","228,448",,,
30/04/2009,2,2009,April,"219,780","233,971","232,266",,,
31/05/2009,2,2009,May,"228,843","231,447","233,832",,,
30/06/2009,2,2009,June,"250,110","235,218","233,442",,,
31/07/2009,3,2009,July,"249,307","232,239","231,629",,,
31/08/2009,3,2009,August,"237,617","227,373","229,114",,,
30/09/2009,3,2009,September,"224,490","226,804","226,622",,,
31/10/2009,4,2009,October,"219,734","224,916","224,396",,,
30/11/2009,4,2009,November,"220,768","221,569","222,648",,,
31/12/2009,4,2009,December,"220,319","222,246","220,818",,,
31/01/2010,1,2010,January,"198,528","218,664","218,664",,,
28/02/2010,1,2010,February,"212,004","217,192","216,345",,,
31/03/2010,1,2010,March,"207,993","214,200","214,151",,,
30/04/2010,2,2010,April,"203,152","211,524","212,630",,,
31/05/2010,2,2010,May,"209,131","211,696","211,877",,,
30/06/2010,2,2010,June,"229,064","212,105","211,340",,,
